2025-04-23 11:10:31 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 3508
2025-04-23 11:10:31 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2025-04-23 11:10:31 0 [Note] InnoDB: Uses event mutexes
2025-04-23 11:10:31 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-04-23 11:10:31 0 [Note] InnoDB: Number of pools: 1
2025-04-23 11:10:31 0 [Note] InnoDB: Using SSE2 crc32 instructions
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 1256945
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 1256901
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 1256901
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 1256857
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 1256857
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 1256813
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 1256813
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 1256769
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 1256769
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=220] with future log sequence number 1256725
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=357] with future log sequence number 1256725
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 1256681
2025-04-23 11:10:31 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=356] with future log sequence number 1256681
